Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
637,3,3.0770,2451.8245,96.1755,EpsilonGreedy
638,3,4.7708,2456.5953,95.4047,EpsilonGreedy
639,3,4.3306,2460.9259,95.0741,EpsilonGreedy
640,3,6.8244,2467.7503,92.2497,EpsilonGreedy
641,3,5.3842,2473.1345,90.8655,EpsilonGreedy
642,3,3.8732,2477.0077,90.9923,EpsilonGreedy
643,3,4.8940,2481.9017,90.0983,EpsilonGreedy
644,3,4.3287,2486.2304,89.7696,EpsilonGreedy
645,3,3.4624,2489.6927,90.3073,EpsilonGreedy
646,3,4.5809,2494.2736,89.7264,EpsilonGreedy
647,3,4.4184,2498.6920,89.3080,EpsilonGreedy
648,3,5.5168,2504.2088,87.7912,EpsilonGreedy
649,3,2.5144,2506.7233,89.2767,EpsilonGreedy
650,3,2.5622,2509.2855,90.7145,EpsilonGreedy
651,3,3.1526,2512.4381,91.5619,EpsilonGreedy
652,3,4.5857,2517.0238,90.9762,EpsilonGreedy
653,3,5.0031,2522.0269,89.9731,EpsilonGreedy
654,3,3.8000,2525.8268,90.1732,EpsilonGreedy
655,3,4.1753,2530.0021,89.9979,EpsilonGreedy
656,3,3.9674,2533.9695,90.0305,EpsilonGreedy
657,3,2.2979,2536.2673,91.7327,EpsilonGreedy
658,3,3.0930,2539.3604,92.6396,EpsilonGreedy
659,3,4.8399,2544.2002,91.7998,EpsilonGreedy
660,3,4.7730,2548.9732,91.0268,EpsilonGreedy
661,3,5.1070,2554.0802,89.9198,EpsilonGreedy
662,3,4.6224,2558.7026,89.2974,EpsilonGreedy
663,3,1.4144,2560.1171,91.8829,EpsilonGreedy
664,3,4.2205,2564.3376,91.6624,EpsilonGreedy
665,3,4.2873,2568.6248,91.3752,EpsilonGreedy
666,3,2.5873,2571.2122,92.7878,EpsilonGreedy
667,3,5.8071,2577.0192,90.9808,EpsilonGreedy
668,3,3.7802,2580.7995,91.2005,EpsilonGreedy
669,3,4.8833,2585.6828,90.3172,EpsilonGreedy
670,3,4.7171,2590.3999,89.6001,EpsilonGreedy
671,3,4.5421,2594.9420,89.0580,EpsilonGreedy
672,3,5.3367,2600.2787,87.7213,EpsilonGreedy
673,3,3.7893,2604.0680,87.9320,EpsilonGreedy
674,3,4.8829,2608.9509,87.0491,EpsilonGreedy
675,3,4.3868,2613.3378,86.6622,EpsilonGreedy
676,3,2.7106,2616.0484,87.9516,EpsilonGreedy
677,3,3.2898,2619.3382,88.6618,EpsilonGreedy
678,3,2.7341,2622.0722,89.9278,EpsilonGreedy
679,3,2.1474,2624.2197,91.7803,EpsilonGreedy
680,3,2.3649,2626.5845,93.4155,EpsilonGreedy
681,3,4.4080,2630.9925,93.0075,EpsilonGreedy
682,3,2.5025,2633.4950,94.5050,EpsilonGreedy
683,3,4.9126,2638.4076,93.5924,EpsilonGreedy
684,3,3.6730,2642.0806,93.9194,EpsilonGreedy
685,3,3.6616,2645.7422,94.2578,EpsilonGreedy
686,3,2.6831,2648.4252,95.5748,EpsilonGreedy
687,3,4.3052,2652.7305,95.2695,EpsilonGreedy
688,3,3.0146,2655.7451,96.2549,EpsilonGreedy
689,3,4.5773,2660.3224,95.6776,EpsilonGreedy
690,3,4.6222,2664.9446,95.0554,EpsilonGreedy
691,3,2.2169,2667.1615,96.8385,EpsilonGreedy
692,3,4.4151,2671.5766,96.4234,EpsilonGreedy
693,3,1.8611,2673.4377,98.5623,EpsilonGreedy
694,3,4.7521,2678.1898,97.8102,EpsilonGreedy
695,3,1.8092,2679.9990,100.0010,EpsilonGreedy
696,3,2.8729,2682.8719,101.1281,EpsilonGreedy
697,3,5.2342,2688.1061,99.8939,EpsilonGreedy
698,3,4.1496,2692.2557,99.7443,EpsilonGreedy
699,3,4.6266,2696.8822,99.1178,EpsilonGreedy
700,3,1.4773,2698.3595,101.6405,EpsilonGreedy
701,3,4.7081,2703.0676,100.9324,EpsilonGreedy
702,3,3.0884,2706.1560,101.8440,EpsilonGreedy
703,3,5.5899,2711.7459,100.2541,EpsilonGreedy
704,3,3.9788,2715.7247,100.2753,EpsilonGreedy
705,3,3.8227,2719.5474,100.4526,EpsilonGreedy
706,3,2.2980,2721.8454,102.1546,EpsilonGreedy
707,3,3.0086,2724.8540,103.1460,EpsilonGreedy
