Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
18840,3,5.5859,75225.3557,134.6443,ThompsonSampling
18841,3,4.6013,75229.9570,134.0430,ThompsonSampling
18842,3,4.2484,75234.2053,133.7947,ThompsonSampling
18843,3,4.8141,75239.0195,132.9805,ThompsonSampling
18844,3,4.5520,75243.5715,132.4285,ThompsonSampling
18845,3,3.9599,75247.5314,132.4686,ThompsonSampling
18846,3,4.8698,75252.4012,131.5988,ThompsonSampling
18847,3,4.8871,75257.2883,130.7117,ThompsonSampling
18848,3,4.3574,75261.6457,130.3543,ThompsonSampling
18849,3,2.7638,75264.4096,131.5904,ThompsonSampling
18850,3,3.8114,75268.2209,131.7791,ThompsonSampling
18851,3,3.0622,75271.2832,132.7168,ThompsonSampling
18852,3,4.2315,75275.5147,132.4853,ThompsonSampling
18853,3,3.8371,75279.3518,132.6482,ThompsonSampling
18854,3,4.8775,75284.2294,131.7706,ThompsonSampling
18855,3,2.9402,75287.1696,132.8304,ThompsonSampling
18856,3,4.1954,75291.3649,132.6351,ThompsonSampling
18857,3,5.0104,75296.3754,131.6246,ThompsonSampling
18858,3,3.8185,75300.1939,131.8061,ThompsonSampling
18859,3,3.5206,75303.7144,132.2856,ThompsonSampling
18860,3,4.2743,75307.9887,132.0113,ThompsonSampling
18861,3,1.8883,75309.8771,134.1229,ThompsonSampling
18862,3,6.4772,75316.3542,131.6458,ThompsonSampling
18863,3,4.5576,75320.9118,131.0882,ThompsonSampling
18864,3,4.4541,75325.3659,130.6341,ThompsonSampling
18865,3,3.9459,75329.3118,130.6882,ThompsonSampling
18866,3,5.0399,75334.3518,129.6482,ThompsonSampling
18867,3,3.2522,75337.6040,130.3960,ThompsonSampling
18868,3,4.1575,75341.7615,130.2385,ThompsonSampling
18869,3,4.1060,75345.8675,130.1325,ThompsonSampling
18870,3,2.0654,75347.9329,132.0671,ThompsonSampling
18871,3,3.7503,75351.6832,132.3168,ThompsonSampling
